id,title,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel,Date,Time,Duration_in_hours,CatchyWords
880202,Anatomy and Figure Drawing for Beginners,150.0,2252,240,111,0,2016-06-20,15:31:48,21.0,0.0
1197206,Illustrator CC MasterClass,95.0,462,50,86,1,2017-05-02,16:41:21,12.0,0.0
1117796,Typographic Logo Design in Illustrator - Beginners & Beyond,150.0,1720,40,27,1,2017-02-23,21:40:39,1.5,0.0
1219520,Adobe Illustrator T-Shirt Design for Merch by Amazon,20.0,390,44,15,1,2017-06-13,20:41:14,1.0,0.0
595876,Logo Design in Adobe Illustrator - for Beginners & Beyond,200.0,4297,337,110,1,2015-10-01,21:40:39,7.5,0.0
1216132,Learn Adobe Illustrator: Semi-Automatic Mandalas Drawing,200.0,1076,15,15,1,2017-05-22,22:53:46,1.0,0.0
1145736,Create Professional Looking Infographics With No Experience,180.0,9367,104,21,0,2017-03-21,19:00:13,2.0,0.0
28556,Discover How to Draw and paint Comics,65.0,8901,424,85,1,2012-11-21,22:03:54,62.0,0.0
317278,Typographic Logos: Typography and Lettering for Logo Design,25.0,4235,427,20,2,2014-10-16,19:30:01,1.5,0.0
573064,Photoshop in Ease: Create World Amazing  Graphic Designs,20.0,14440,182,26,1,2015-08-13,21:17:34,3.0,0.0
1120554,Canva Graphics Design Essential Training For Everyone,200.0,12340,124,46,1,2017-03-07,03:54:27,2.5,0.0
1151326,Triangulated Bird: Origami Styled Bird in Adobe Illustrator,195.0,2027,11,9,2,2017-04-18,19:40:57,0.5,0.0
590794,Illustrator Quick Tip：10分でKawaiiカメレオンを描こう,0.0,381,24,7,1,2015-08-31,20:52:45,0.6,0.0
1181578,Deinen Roman setzen mit PagePlus in 10 einfachen Schritten,0.0,69,6,25,1,2017-04-24,16:44:12,3.5,0.0
1261122,画像加工の初心者でも「１日」で初歩を覚えられる無料講座,0.0,21,0,18,0,2017-06-22,15:01:32,1.0,0.0
749542,Graphic Design Bootcamp,200.0,15276,1740,65,0,2016-05-13,00:03:03,8.0,0.0
874012,The Ultimate Drawing Course - Beginner to Advanced,150.0,26742,2379,62,0,2017-01-23,00:20:05,11.0,1.0
1046722,Ultimate Photoshop Training: From Beginner to Pro,200.0,5326,447,150,0,2017-01-12,16:56:22,11.5,0.0
820194,Photoshop for Entrepreneurs - Design 11 Practical Projects,200.0,36288,737,63,1,2016-06-09,01:57:03,5.0,0.0
62721,Anatomy for Figure Drawing: Mastering the Human Figure,95.0,15500,754,65,1,2013-10-16,11:37:30,68.5,0.0
371074,Sketch 3 from A to Z: Become an App Designer,75.0,7282,1629,42,1,2015-01-03,08:21:48,3.5,0.0
20461,How to Design a Logo - a Beginners Course,30.0,10875,650,41,1,2012-07-25,13:41:42,2.5,0.0
416548,Logo Design Masterclass: Learn Logo Design + Illustrator,200.0,8196,479,85,1,2015-08-18,18:56:04,6.5,0.0
1047436,How to Draw and Sketch for Beginners,150.0,1360,175,79,0,2017-01-25,22:07:38,9.0,0.0
396204,Graphic Design Masterclass: Learn Graphic Design in Projects,95.0,6858,382,41,0,2015-11-09,21:17:04,3.5,0.0
897238,Canva Graphics Design for Entrepreneurs - Design 11 Projects,200.0,18303,202,54,1,2016-07-23,00:41:07,3.5,0.0
1067516,Vector Logo Design in Affinity Designer,150.0,1789,102,57,1,2017-02-07,18:09:03,3.0,0.0
1008100,How To Create A Low Poly Portrait With The Pen Tool,195.0,293,5,18,0,2016-11-15,14:40:56,1.0,0.0
832870,Photo Editing in Photoshop - Beginner to Advanced in 1 Hour,20.0,662,5,21,0,2016-05-09,01:17:58,1.0,0.0
642656,How to Create Kindle & Ebook Covers with Canva,30.0,1279,3,33,0,2015-10-21,00:07:15,1.5,0.0
428220,How To Make Professional eBook Covers For FREE,20.0,1080,6,35,1,2015-02-26,15:24:08,3.0,0.0
